Id_Art,Art_Email,Art_Name,Art_Cuit,Art_Phone,Art_Sueldo
1,Rolo@colo.co,Rolitos,20328526545,1156279541,50000
2,bigger@gmail.com,Bigger,2029850215,1196325574,80000
3,Parte@planeta.nx,Parteplaneta,2092582624,1154859541,10000
4,modificacion@Empleado_Caja,Empleado_Caja,20328526545,1156279541,59590
5,insercion@usuario,Empleado_Caja,20328526545,1156279541,59590
6,marilina@connor.net,ConnorQuesta,20385226545,1153521441,150000
7,sickporky@terra.es,"Sick Proky",20388556545,1153521152,140000
8,masqueuno@fiell.tk,"Mas que uno",27552226545,116361441,120000
9,Aura@hotmail.com,Aura,2038588595,1159999441,100000
10,Crux@gmail.com,Crux,27352698524,1152632595,80000
11,reaccion@terra.es,Reaccion,20259523258,1152632595,120000
