Id_Prod,Prod_Name,Prod_LastName,Prod_Phone,Prod_Email,Prod_Cuit,Prod_Sueldo
1,Maru,Polak,119536254,maru@polak.pk,273021685,35000
2,Luciano,Villace,115383662,luciano@human.com,203269547,45000
3,Fernando,taborda,118526582,oliver@knos.com,20255652,40000
4,Chengo,Gonzales,220536254,chengo@rosario.pk,254021685,42000
5,Luz,Espeche,1165952315,luzespeche@gmail.com,2127256329955,50000
6,Nicolas,Gandin,29415268524,nicogan@rocca.tr,23256995221,35000
7,Juan,Gutierrez,029445523695,caizo@gmail.com,20369985558,45000
8,Pablo,contreras,1166988521,pablocont85@urban.mx,26126958852,112000
9,Miguel,gerez,24469853211,miguelger@ate.org,25186631485,95000
10,Mauricio,Beltrame,2994265315,beltramemau@neuquen.gov,20158526325,125000
